total_patrons,schedalg,seed,patron,drink,priority,queue_level,seq_no,service_start_time,arrival_time,completion_time,waiting_time,imbibing_time,turnaround_time,enqueue_time,execution_time,response_time
5,0,1,0,Tequila shot,0,0,0,1778934769078,1778934769078,1778934769098,0,3,20,1778934769078,20,0
5,0,1,1,Pina Colada,0,0,1,1778934769116,1778934769098,1778934769216,18,120,118,1778934769098,100,18
5,0,1,0,Draft Beer,0,0,2,1778934769217,1778934769102,1778934769267,115,100,165,1778934769102,50,115
5,0,1,1,Cider,0,0,3,1778934769337,1778934769337,1778934769362,0,100,25,1778934769337,25,0
5,0,1,0,B52,0,0,4,1778934769368,1778934769368,1778934769568,0,10,200,1778934769368,200,0
5,0,1,1,Red Wine,0,0,5,1778934769568,1778934769463,1778934769593,105,150,130,1778934769463,25,105
5,0,1,2,B52,0,0,6,1778934769799,1778934769799,1778934770000,0,10,201,1778934769799,200,0
5,0,1,3,Vodka shot,0,0,7,1778934770000,1778934769823,1778934770020,177,3,197,1778934769823,20,177
5,0,1,2,Pina Colada,0,0,8,1778934770020,1778934770010,1778934770120,10,120,110,1778934770010,100,10
5,0,1,3,Pina Colada,0,0,9,1778934770121,1778934770023,1778934770221,98,120,198,1778934770023,100,98
5,0,1,2,Red Wine,0,0,10,1778934770241,1778934770241,1778934770266,0,150,25,1778934770241,25,0
5,0,1,3,Pina Colada,0,0,11,1778934770342,1778934770341,1778934770442,1,120,101,1778934770341,100,1
5,0,1,2,Draft Beer,0,0,12,1778934770442,1778934770417,1778934770493,25,100,76,1778934770417,50,25
5,0,1,3,Cider,0,0,13,1778934770563,1778934770562,1778934770588,1,100,26,1778934770562,25,1
5,0,1,2,Mojito,0,0,14,1778934770595,1778934770593,1778934770670,2,110,77,1778934770593,75,2
5,0,1,3,Red Wine,0,0,15,1778934770689,1778934770689,1778934770714,0,150,25,1778934770689,25,0
5,0,1,3,Beer,0,0,16,1778934770865,1778934770865,1778934770891,0,100,26,1778934770865,25,0
5,0,1,3,Mojito,0,0,17,1778934770992,1778934770992,1778934771067,0,110,75,1778934770992,75,0
5,0,1,4,Gin and Tonic,0,0,18,1778934773078,1778934773077,1778934773118,1,110,41,1778934773077,40,1
